owner,total
8EfEbdTHjcE86hEXgCgmmZjp61ev8qZ73VS1Sn7ZTNnt,3
ANsGQTZrxWBJ56917BoHj7zVzrp7yCn32bFMBBme8Afv,3
6Y7HG1cWWhgS1jiagpi5YQQLsmvuGsUTyt6ETcuERX3t,3
Etks8yWemmNsnS3r1s8CmGDqkiW55iepDvHkB59QrgNq,3
BqSf7rpYiVohUMvskVauB1P9VkyiPz2MqUQ64hd7Neua,3
6jJoS9xfetp9xKw6tvTqr9emVkSU8vyWF2TbvFK6jfY5,3
Eos2hEWenLJc4A98Va5davt1r13hkAeyRe6tmfuZm6u1,3
Goxdxssq5wh3uVEKgupfLZmzukLQVHn6nynD4dZ6p1uF,3
E8pBqibmWg5DdcuaGgDPpzDNHab8ciAWoWwYiRYRVSLH,3
FsxgXjZcM8RHD7iGsQJBvYD4z7AnBeDSLzKzm2GkJPUA,3
8BMD6zWyt1FZFfQTkJGCs7zisnZWzyUBQLsBMSvsmM96,3
H7G6jdWDXhGfyQanrc9gCRZwHk6j1WegEP6UY9pfNjqw,3
FugKEWxezTWCRL9T4wZM5pFVsm9a3kktgSy1rNHdMKB7,3
C6pqQyi2r8xN1WUP1axY9EE2ePY4XacBHC4NB8Cc2ZVq,3
9vM9jcyN3e4LCWD7HWqL7cJ8r9aDNLnAyewDSLFozDBY,3
ACXjsScCMeDBgDeU8qLm7A5bpBFTd61HB7paMBbAgrYq,3
KrcpGkd54JpXcmMKSJe76acorRxdtw1XkrNB1qHqodG,3
1WzYezvo2stiGomkVBhbUzk2uKcxvR5vRUnnLdMXXoK,3
6stKhrQHxnxr5fCP1mMXQE4t9J4DNoD73V8nA4S5jH3j,3
9faX4Jqi1MR7nQ7S3TBjAZhhpEeidyZp9PuBH4cBXaCa,3
5xGTiYc8h8FUGeGGDWUmZH9B53Qu5FnBZsmFTHxgfQMk,3
AXUA1gar9ESongQYoCE9dYPQFKaK6nEnZ1jScVMk9HHm,3
2aCCMq8TSy4YCR7D1tjhB7YdFAr4wEYF8TAFoSxZVZBd,2
BxD7E7Nau9173SyqJqt6iMX5MAjRksWG88WfRgc3WcEU,2
3iMNngRUK8W1Pfrsj3gAxbPuQXmcb3QJtHzDtdH811Qj,2
4CtjsC38fz69VAS1T3zRYY3bkYz5UtVSnRhUHT5NtBgK,2
FvKV5vo9Af58vQfPNA6vn9EpA5WWGiMFDRVdQDg3cfEm,2
7ECLT44eGmiHdZmNv7ZwBVHBNR8899dYBA82j9ft8eCe,2
9bEhVxJU5ruqnSAY6bPpvsbEqKZB4cuQCnvB8rHGQ82k,2
H2unDYz6SrahWdDL9XSHAfnBwDYQyAo9au2PrkGWgwow,2
9msL3fQePP3ivgWmmoy3eQJ49LcXbhSKLmmaBJ4ddiFW,2
JCgEtZd1Jiq3Uk7nFGvLzYhXijv2VG5HqD8vVG4WqPi9,2
D1Dpx8FX4X93wLPMyQ8XiA7c4BbKRTfpco3Gg7JXXs6g,2
CfMLSzx88ofJi9288fz4treBzbcsN4C8q5T1H4P5iniA,2
ismwNFAEpLA5GPNrAKtvg99FbNrL81DH1YyQJ8P33ef,2
Evo8k9gge5F8DDwQL552L2h5bEZSNE5uDaobAEyzFeK7,2
9CW89jGxLnA9x5U7jMyP8ACaKp1vkq6VhQC4AnLL9RXu,2
ariocUxhJPxBJ8DcUwoBeitq54QvYNgDk2mRSZHP8vk,2
DcMYLh1oEbHQWT6hD7HLDMuDuyCuSECvR2eMdEvKfNqe,2
9ig99MGMZz8PKEZ7HyaVr8s88jgzTp9EAoXGAMbNhSPV,2
66pLoea3zCr4BQBLGz2kKTaxb4wkL1s67eWD5HWuLtoP,2
7euNyKZap4QRW85N52uyZYmNzaAZFsFvTz28TSj2cGfc,2
6GgAqFv5vXHgnVnKf7JDiWZE9oDsELtn37EJKgs4CVED,2
6EwWy5zJ95CGF3vdi5bMwZGu1XnWwRqTN4dGZUJgNbUo,2
GvugKZrUqQ8b2g3DYDJNd4yqnFTTxGLYwhSVvTpgyd5J,2
9Qv1vv6sAppXyn1Yh3yqUqzqHqzXTsUHQ1eaGLbqb5FP,2
F5MMwFskNnQXMHh9m5ScS8kmEBPgxZzEhRzzM7YF56ZH,2
BYfutPqzk2WQdvRTJSTHJwj9z2svjKZtXtDuDAw5rASU,2
TdR77qpDFNwXs8jQ9HEYBdgQsJ18hqAhjG616Tewa46,2
Gzo5eNAnqeG4nKASrQQjd8LVvNxAxQnMHkHj2MHHjRMD,2
GsUAvM8cKWLJrHNzU3xRqRUMTZzXLaUhsYZfA4bz8BK,2
J8dai2gVxYN1BcfzuX16ERb8ji5mVGVdPCD39JYLNMUg,2
EwhYdckzuCtN9p4mQEryQJWPGmkrzWhSCUoPHdkAzhg2,2
3duwqoBAUnFBfg9JkhDdK39sgiFJPdJz9Nw3g1Yu4rEB,2
2iMBvYsRjMZkborfH5zyeu9fXPrQWVf8AWbenmPZxYpV,2
6mHWi7hKwK6nEgk2RHWA2kFbz6XKx6tw7by2hgRepDXz,2
ByJ66eKonuSfuerSpPzNTynGyMuQwWx3s4vWUnEu2N4M,2
9qKoiamwCxYFpYbD5pHiCv5shmorzEn5Xsr4hMM2Krtc,2
8y1KS8pTo8s53EmYqLMdZxTm7KwoBQrXxQ5183ZJTFKw,2
C1msfRQpVvXy69zFc4vKFCntrSSL7UiYmyULJKV71yH,2
36Nd1uXqZ2PZYk7yHT8XqJirFx78X8fBJtD77VayYKpx,2
7ZT4k99UmbGHEcJ7hEnndEryTyeAFe9Gg8fBaEbcidqV,2
9aucXnzDXddYah2UakHyJ3NLXsyFTmPi8Vs1FccaBR3w,2
CWszrvKdSniRNEBfgXZY48JqFFEv4hjzAFT67VJJSJEy,2
Bz431Td8LKRWTJRzzCnxiNNMDSGNakDuJSpGp7MVQCoQ,2
D5oNpxu2RnR3KguxRa91bVoYi51iWmomigAUYPAjgVxy,2
fRwSG1LriABcwafhyR1JuYj5zq2ZQ27pkChg28d4a2k,2
88pA717xVNtZ8jDUPRfQ9ai6f3nWitNZ8MV2YYbNa5rP,2
83nGkT8MfZgzBfve9tC9Ntvf1Y2wd4RocAvmine9hbMY,2
BwoRMW17PoKHiftPm1CfwjLo7zeVJfNtuCHW9wMTdn21,2
4fDprUTZKH89vwgemM4C49XShHbv2CCx22GrdjJsguCJ,2
GhhNqaC6U1LJiwx3escAYx2H7mSVdzkyr1kL1NpViFYX,2
9mJeA8QHJHwdGjnXpb8nWHn448Kn77W8dbzGYT19PysC,2
HjeQXYYd69Q8VRStiwaFnAHLcbJJRLgh9cJxpccPcLsp,2
HYro93C4uXjkXd681zVQJuzCHPpv1pc32fpN1UzGEByv,2
2QStbPERoAc5RH8uM39Y4MDSKJ16DUczsPuRf2ytWXFA,2
CDwLpQbx1pBqUj8YofNGjroHzt92MbgSYyRbZ1PCL6ZY,2
7pP76bUs1hTRrwDkw1AvmuJF6yXQxxwVsCgTfUkdFxTa,2
BVK5ecgt8vJZi4MGezYsvs7qTpxUEwL2nXFPTvw7xzR7,2
4mzEfZ1L66XacZi9ExmmgQ2gjX1RzWDShs98b2tiR9MZ,2
FzYjvXNZZu3G5Bmr8fce27vVZSMVt9hKEktPKmuSLQpL,2
939Rq73Rx4cHRjcuBC1J3UgK4AsJhRiSx5Zx9aGZCZ4T,2
2mxQZb8mRpUJdJJSnwrerWCYUZyXB1xWvf9EoUBQ5JmM,2
7Xhb6tgUHHzTzeiMrPH9h2aiMNpRgehaXSpgCpnMtA1r,2
GKFN21hhNYyuHp1zEwe4UpLZajna68k8zuX1CzdtKGGx,2
A1zWuAux23ZxKv1TuVJgGFKrP7NZAWbd2TCgb14gLaaf,2
8hPbReYBpeVU286iVML4RnQtcHQi649Jyya8QrctEr9q,2
DwLfTjocdcavHo6dHaPugcacJZS1KE7dHwDXc3zympAu,2
8UjgCXwMnW4HkSuu9v3BdU3L3CdpMCmPppFqc9jTMshY,2
Fk7DTCinqmwogVe6EVBHCWetUBAaSguDvvdtekLPMi8s,2
HzB7NQ7LSc3mDbtSyeM7W8cJmw4oQ1mNpsSTvPLo6vA9,2
sHLY8wn6CqhTzEqLq9goihWYZdLa7wC4JPz2porkSjj,2
6RRRcWxDEq2m1bRNf8wJMkUrjf7BspnrTe7SwEVyCBeY,2
9iZ48GYnNd9Yyk5GnXiP7Y2WQKfKRC6q5kZCy9FprxB9,2
Cn9ZxdJFshChj3JhK1BG6HFDtCitht8iyR32HpkjK3XL,2
